08:03:44.849122 | user: luasha_5   | success: true  | req made in window: 10    | time before next req: 0  
08:03:44.849122 | user: luasha_5   | success: true  | req made in window: 9     | time before next req: 0  
08:03:44.849668 | user: luasha_5   | success: true  | req made in window: 10    | time before next req: 0  
08:03:44.850190 | user: luasha_2   | success: true  | req made in window: 13    | time before next req: 0  
08:03:44.850190 | user: luasha_3   | success: false | req made in window: 15    | time before next req: 6  
08:03:44.851558 | user: luasha_4   | success: true  | req made in window: 15    | time before next req: 0  
08:03:44.852139 | user: luasha_2   | success: true  | req made in window: 14    | time before next req: 0  
08:03:44.852751 | user: luasha_3   | success: false | req made in window: 15    | time before next req: 6  
08:03:44.853258 | user: luasha_5   | success: true  | req made in window: 11    | time before next req: 0  
08:03:44.853258 | user: luasha_5   | success: true  | req made in window: 12    | time before next req: 0  
08:03:44.854294 | user: luasha_4   | success: false | req made in window: 15    | time before next req: 6  
08:03:44.854807 | user: luasha_4   | success: false | req made in window: 15    | time before next req: 6  
08:03:44.856009 | user: luasha_4   | success: false | req made in window: 15    | time before next req: 6  
08:03:44.856513 | user: luasha_1   | success: false | req made in window: 15    | time before next req: 6  
08:03:44.857696 | user: luasha_1   | success: false | req made in window: 15    | time before next req: 6  
08:03:44.858212 | user: luasha_3   | success: false | req made in window: 15    | time before next req: 6  
08:03:44.858212 | user: luasha_2   | success: true  | req made in window: 15    | time before next req: 0  
08:03:44.858212 | user: luasha_1   | success: false | req made in window: 15    | time before next req: 6  
08:03:44.858731 | user: luasha_2   | success: false | req made in window: 15    | time before next req: 6  
08:03:45.879755 | user: luasha_3   | success: false | req made in window: 15    | time before next req: 5  
08:03:45.879755 | user: luasha_3   | success: false | req made in window: 15    | time before next req: 5  
08:03:45.890141 | user: luasha_5   | success: true  | req made in window: 12    | time before next req: 0  
08:03:45.908536 | user: luasha_3   | success: false | req made in window: 15    | time before next req: 5  
08:03:45.908536 | user: luasha_4   | success: false | req made in window: 15    | time before next req: 5  
08:03:45.911799 | user: luasha_2   | success: false | req made in window: 15    | time before next req: 5  
08:03:45.911799 | user: luasha_2   | success: false | req made in window: 15    | time before next req: 5  
08:03:45.921490 | user: luasha_5   | success: true  | req made in window: 13    | time before next req: 0  
08:03:45.924201 | user: luasha_1   | success: false | req made in window: 15    | time before next req: 5  
08:03:45.937778 | user: luasha_1   | success: false | req made in window: 15    | time before next req: 5  
08:03:45.959440 | user: luasha_3   | success: false | req made in window: 15    | time before next req: 5  
08:03:45.982359 | user: luasha_1   | success: false | req made in window: 15    | time before next req: 5  
08:03:45.982359 | user: luasha_4   | success: false | req made in window: 15    | time before next req: 5  
08:03:45.982359 | user: luasha_4   | success: false | req made in window: 15    | time before next req: 5  
08:03:45.982359 | user: luasha_1   | success: false | req made in window: 15    | time before next req: 5  
08:03:45.982359 | user: luasha_4   | success: false | req made in window: 15    | time before next req: 5  
08:03:45.982359 | user: luasha_1   | success: false | req made in window: 15    | time before next req: 5  
08:03:45.982359 | user: luasha_2   | success: false | req made in window: 15    | time before next req: 5  
08:03:45.982359 | user: luasha_1   | success: false | req made in window: 15    | time before next req: 5  
08:03:45.982359 | user: luasha_3   | success: false | req made in window: 15    | time before next req: 5  
08:03:45.982359 | user: luasha_3   | success: false | req made in window: 15    | time before next req: 5  
08:03:45.982359 | user: luasha_1   | success: false | req made in window: 15    | time before next req: 5  
08:03:45.982359 | user: luasha_1   | success: false | req made in window: 15    | time before next req: 5  
08:03:45.982359 | user: luasha_3   | success: false | req made in window: 15    | time before next req: 5  
08:03:45.982359 | user: luasha_3   | success: false | req made in window: 15    | time before next req: 5  
08:03:45.982359 | user: luasha_2   | success: false | req made in window: 15    | time before next req: 5  
08:03:46.989289 | user: luasha_2   | success: false | req made in window: 15    | time before next req: 4  
08:03:46.993626 | user: luasha_1   | success: false | req made in window: 15    | time before next req: 4  
08:03:46.993626 | user: luasha_4   | success: false | req made in window: 15    | time before next req: 4  
08:03:46.998563 | user: luasha_3   | success: false | req made in window: 15    | time before next req: 4  
08:03:46.998563 | user: luasha_5   | success: true  | req made in window: 14    | time before next req: 0  
08:03:47.001512 | user: luasha_2   | success: false | req made in window: 15    | time before next req: 4  
08:03:47.001512 | user: luasha_5   | success: true  | req made in window: 15    | time before next req: 0  
08:03:47.004324 | user: luasha_1   | success: false | req made in window: 15    | time before next req: 4  
08:03:47.004324 | user: luasha_4   | success: false | req made in window: 15    | time before next req: 4  
08:03:47.005332 | user: luasha_2   | success: false | req made in window: 15    | time before next req: 4  
08:03:47.005332 | user: luasha_2   | success: false | req made in window: 15    | time before next req: 4  
08:03:47.007664 | user: luasha_4   | success: false | req made in window: 15    | time before next req: 4  
08:03:47.009263 | user: luasha_2   | success: false | req made in window: 15    | time before next req: 4  
08:03:47.010309 | user: luasha_2   | success: false | req made in window: 15    | time before next req: 4  
08:03:47.011479 | user: luasha_5   | success: false | req made in window: 15    | time before next req: 4  
08:03:47.012040 | user: luasha_2   | success: false | req made in window: 15    | time before next req: 4  
08:03:47.013236 | user: luasha_1   | success: false | req made in window: 15    | time before next req: 4  
08:03:47.013236 | user: luasha_4   | success: false | req made in window: 15    | time before next req: 4  
08:03:47.013236 | user: luasha_1   | success: false | req made in window: 15    | time before next req: 4  
08:03:47.013236 | user: luasha_1   | success: false | req made in window: 15    | time before next req: 4  
08:03:47.015295 | user: luasha_2   | success: false | req made in window: 15    | time before next req: 4  
08:03:47.016368 | user: luasha_5   | success: false | req made in window: 15    | time before next req: 4  
08:03:47.017683 | user: luasha_2   | success: false | req made in window: 15    | time before next req: 4  
08:03:48.019328 | user: luasha_1   | success: false | req made in window: 15    | time before next req: 3  
08:03:48.023030 | user: luasha_4   | success: false | req made in window: 15    | time before next req: 3  
08:03:48.023030 | user: luasha_4   | success: false | req made in window: 15    | time before next req: 3  
08:03:48.026836 | user: luasha_1   | success: false | req made in window: 15    | time before next req: 3  
08:03:48.028166 | user: luasha_2   | success: false | req made in window: 15    | time before next req: 3  
08:03:48.028166 | user: luasha_4   | success: false | req made in window: 15    | time before next req: 3  
08:03:48.029057 | user: luasha_5   | success: false | req made in window: 15    | time before next req: 3  
08:03:48.029057 | user: luasha_4   | success: false | req made in window: 15    | time before next req: 3  
08:03:48.030260 | user: luasha_2   | success: false | req made in window: 15    | time before next req: 3  
08:03:48.030260 | user: luasha_4   | success: false | req made in window: 15    | time before next req: 3  
08:03:48.031321 | user: luasha_5   | success: false | req made in window: 15    | time before next req: 3  
08:03:48.032404 | user: luasha_5   | success: false | req made in window: 15    | time before next req: 3  
08:03:48.032649 | user: luasha_1   | success: false | req made in window: 15    | time before next req: 3  
08:03:48.034041 | user: luasha_5   | success: false | req made in window: 15    | time before next req: 3  
08:03:48.034041 | user: luasha_4   | success: false | req made in window: 15    | time before next req: 3  
08:03:48.034041 | user: luasha_4   | success: false | req made in window: 15    | time before next req: 3  
08:03:48.035011 | user: luasha_3   | success: false | req made in window: 15    | time before next req: 3  
08:03:48.035730 | user: luasha_2   | success: false | req made in window: 15    | time before next req: 3  
08:03:48.036467 | user: luasha_4   | success: false | req made in window: 15    | time before next req: 3  
08:03:48.036467 | user: luasha_2   | success: false | req made in window: 15    | time before next req: 3  
08:03:49.040173 | user: luasha_5   | success: false | req made in window: 15    | time before next req: 2  
08:03:49.040173 | user: luasha_5   | success: false | req made in window: 15    | time before next req: 2  
08:03:49.043335 | user: luasha_4   | success: false | req made in window: 15    | time before next req: 2  
08:03:49.043335 | user: luasha_2   | success: false | req made in window: 15    | time before next req: 2  
08:03:49.044777 | user: luasha_5   | success: false | req made in window: 15    | time before next req: 2  
08:03:49.044777 | user: luasha_2   | success: false | req made in window: 15    | time before next req: 2  
08:03:49.047124 | user: luasha_1   | success: false | req made in window: 15    | time before next req: 2  
08:03:49.047124 | user: luasha_5   | success: false | req made in window: 15    | time before next req: 2  
08:03:49.047731 | user: luasha_2   | success: false | req made in window: 15    | time before next req: 2  
08:03:49.049942 | user: luasha_2   | success: false | req made in window: 15    | time before next req: 2  
08:03:49.051718 | user: luasha_4   | success: false | req made in window: 15    | time before next req: 2  
08:03:49.051718 | user: luasha_1   | success: false | req made in window: 15    | time before next req: 2  
08:03:49.053005 | user: luasha_2   | success: false | req made in window: 15    | time before next req: 2  
08:03:49.053005 | user: luasha_4   | success: false | req made in window: 15    | time before next req: 2  
08:03:49.053468 | user: luasha_5   | success: false | req made in window: 15    | time before next req: 2  
08:03:49.054184 | user: luasha_1   | success: false | req made in window: 15    | time before next req: 2  
08:03:49.054693 | user: luasha_1   | success: false | req made in window: 15    | time before next req: 2  
08:03:49.055224 | user: luasha_2   | success: false | req made in window: 15    | time before next req: 2  
08:03:49.055716 | user: luasha_3   | success: false | req made in window: 15    | time before next req: 2  
08:03:49.056792 | user: luasha_3   | success: false | req made in window: 15    | time before next req: 2  
08:03:49.056792 | user: luasha_4   | success: false | req made in window: 15    | time before next req: 2  
08:03:49.057049 | user: luasha_2   | success: false | req made in window: 15    | time before next req: 2  
08:03:50.069568 | user: luasha_5   | success: false | req made in window: 15    | time before next req: 1  
08:03:50.076827 | user: luasha_4   | success: false | req made in window: 15    | time before next req: 1  
08:03:50.078192 | user: luasha_5   | success: false | req made in window: 15    | time before next req: 1  
08:03:50.078192 | user: luasha_2   | success: false | req made in window: 15    | time before next req: 1  
08:03:50.079203 | user: luasha_3   | success: false | req made in window: 15    | time before next req: 1  
08:03:50.080167 | user: luasha_1   | success: false | req made in window: 15    | time before next req: 1  
08:03:50.080167 | user: luasha_2   | success: false | req made in window: 15    | time before next req: 1  
08:03:50.080167 | user: luasha_5   | success: false | req made in window: 15    | time before next req: 1  
08:03:50.081134 | user: luasha_2   | success: false | req made in window: 15    | time before next req: 1  
08:03:50.082190 | user: luasha_3   | success: false | req made in window: 15    | time before next req: 1  
08:03:50.082190 | user: luasha_3   | success: false | req made in window: 15    | time before next req: 1  
08:03:50.082697 | user: luasha_1   | success: false | req made in window: 15    | time before next req: 1  
08:03:50.082697 | user: luasha_3   | success: false | req made in window: 15    | time before next req: 1  
08:03:50.083524 | user: luasha_5   | success: false | req made in window: 15    | time before next req: 1  
08:03:50.083524 | user: luasha_2   | success: false | req made in window: 15    | time before next req: 1  
08:03:50.085101 | user: luasha_4   | success: false | req made in window: 15    | time before next req: 1  
08:03:50.085101 | user: luasha_2   | success: false | req made in window: 15    | time before next req: 1  
08:03:50.085610 | user: luasha_5   | success: false | req made in window: 15    | time before next req: 1  
08:03:50.087035 | user: luasha_2   | success: false | req made in window: 15    | time before next req: 1  
08:03:50.087035 | user: luasha_1   | success: false | req made in window: 15    | time before next req: 1  
08:03:50.088072 | user: luasha_5   | success: false | req made in window: 15    | time before next req: 1  
08:03:50.089110 | user: luasha_1   | success: false | req made in window: 15    | time before next req: 1  
08:03:50.090139 | user: luasha_2   | success: false | req made in window: 15    | time before next req: 1  
08:03:50.090801 | user: luasha_2   | success: false | req made in window: 15    | time before next req: 1  
08:03:50.091830 | user: luasha_2   | success: false | req made in window: 15    | time before next req: 1  
08:03:51.100467 | user: luasha_4   | success: false | req made in window: 15    | time before next req: 0  
08:03:51.104256 | user: luasha_5   | success: false | req made in window: 15    | time before next req: 0  
08:03:51.106453 | user: luasha_1   | success: false | req made in window: 15    | time before next req: 0  
08:03:51.106453 | user: luasha_4   | success: false | req made in window: 15    | time before next req: 0  
08:03:51.112900 | user: luasha_3   | success: false | req made in window: 15    | time before next req: 0  
08:03:51.112900 | user: luasha_5   | success: false | req made in window: 15    | time before next req: 0  
08:03:51.114639 | user: luasha_1   | success: false | req made in window: 15    | time before next req: 0  
08:03:51.114639 | user: luasha_4   | success: false | req made in window: 15    | time before next req: 0  
08:03:51.117194 | user: luasha_1   | success: false | req made in window: 15    | time before next req: 0  
08:03:51.117194 | user: luasha_1   | success: false | req made in window: 15    | time before next req: 0  
08:03:51.117698 | user: luasha_4   | success: false | req made in window: 15    | time before next req: 0  
08:03:51.117698 | user: luasha_3   | success: false | req made in window: 15    | time before next req: 0  
08:03:51.119402 | user: luasha_1   | success: false | req made in window: 15    | time before next req: 0  
08:03:51.119907 | user: luasha_5   | success: false | req made in window: 15    | time before next req: 0  
08:03:51.120477 | user: luasha_5   | success: false | req made in window: 15    | time before next req: 0  
08:03:51.120981 | user: luasha_5   | success: false | req made in window: 15    | time before next req: 0  
08:03:51.121517 | user: luasha_5   | success: false | req made in window: 15    | time before next req: 0  
08:03:51.122197 | user: luasha_3   | success: false | req made in window: 15    | time before next req: 0  
08:03:51.123009 | user: luasha_2   | success: false | req made in window: 15    | time before next req: 0  
08:03:51.123009 | user: luasha_1   | success: false | req made in window: 15    | time before next req: 0  
08:03:51.123515 | user: luasha_1   | success: false | req made in window: 15    | time before next req: 0  
08:03:51.123870 | user: luasha_3   | success: false | req made in window: 15    | time before next req: 0  
08:03:51.124374 | user: luasha_2   | success: false | req made in window: 15    | time before next req: 0  
08:03:51.125216 | user: luasha_2   | success: false | req made in window: 15    | time before next req: 0  
08:03:51.125216 | user: luasha_1   | success: false | req made in window: 15    | time before next req: 0  
08:03:52.128916 | user: luasha_1   | success: true  | req made in window: 9     | time before next req: 0  
08:03:52.129421 | user: luasha_1   | success: true  | req made in window: 10    | time before next req: 0  
08:03:52.130466 | user: luasha_2   | success: true  | req made in window: 10    | time before next req: 0  
08:03:52.130996 | user: luasha_2   | success: true  | req made in window: 11    | time before next req: 0  
08:03:52.131774 | user: luasha_1   | success: true  | req made in window: 11    | time before next req: 0  
08:03:52.131774 | user: luasha_2   | success: true  | req made in window: 12    | time before next req: 0  
08:03:52.133480 | user: luasha_1   | success: true  | req made in window: 12    | time before next req: 0  
08:03:52.133985 | user: luasha_3   | success: true  | req made in window: 13    | time before next req: 0  
08:03:52.134500 | user: luasha_3   | success: true  | req made in window: 14    | time before next req: 0  
08:03:52.135029 | user: luasha_1   | success: true  | req made in window: 13    | time before next req: 0  
08:03:52.135029 | user: luasha_5   | success: true  | req made in window: 14    | time before next req: 0  
08:03:52.135029 | user: luasha_1   | success: true  | req made in window: 14    | time before next req: 0  
08:03:52.135547 | user: luasha_3   | success: true  | req made in window: 15    | time before next req: 0  
08:03:52.136070 | user: luasha_5   | success: true  | req made in window: 15    | time before next req: 0  
08:03:52.136598 | user: luasha_4   | success: true  | req made in window: 13    | time before next req: 0  
08:03:52.137726 | user: luasha_1   | success: true  | req made in window: 15    | time before next req: 0  
08:03:52.138254 | user: luasha_2   | success: true  | req made in window: 12    | time before next req: 0  
08:03:52.138777 | user: luasha_2   | success: true  | req made in window: 13    | time before next req: 0  
08:03:52.138777 | user: luasha_1   | success: false | req made in window: 15    | time before next req: 0  
08:03:52.139306 | user: luasha_2   | success: true  | req made in window: 13    | time before next req: 0  
08:03:52.140374 | user: luasha_3   | success: false | req made in window: 15    | time before next req: 0  
08:03:52.140374 | user: luasha_4   | success: true  | req made in window: 14    | time before next req: 0  
08:03:52.141424 | user: luasha_5   | success: false | req made in window: 15    | time before next req: 0  
08:03:53.155801 | user: luasha_4   | success: true  | req made in window: 11    | time before next req: 0  
08:03:53.156880 | user: luasha_2   | success: true  | req made in window: 12    | time before next req: 0  
08:03:53.157986 | user: luasha_2   | success: true  | req made in window: 13    | time before next req: 0  
08:03:53.159111 | user: luasha_1   | success: true  | req made in window: 10    | time before next req: 0  
08:03:53.159623 | user: luasha_3   | success: true  | req made in window: 8     | time before next req: 0  
08:03:53.161051 | user: luasha_5   | success: true  | req made in window: 13    | time before next req: 0  
08:03:53.161051 | user: luasha_2   | success: true  | req made in window: 14    | time before next req: 0  
08:03:53.161460 | user: luasha_4   | success: true  | req made in window: 12    | time before next req: 0  
08:03:53.161460 | user: luasha_5   | success: true  | req made in window: 14    | time before next req: 0  
08:03:53.163240 | user: luasha_5   | success: true  | req made in window: 15    | time before next req: 0  
08:03:53.163240 | user: luasha_1   | success: true  | req made in window: 11    | time before next req: 0  
08:03:53.163746 | user: luasha_2   | success: true  | req made in window: 15    | time before next req: 0  
08:03:53.163746 | user: luasha_3   | success: true  | req made in window: 9     | time before next req: 0  
08:03:53.163746 | user: luasha_4   | success: true  | req made in window: 13    | time before next req: 0  
08:03:53.164739 | user: luasha_4   | success: true  | req made in window: 14    | time before next req: 0  
08:03:53.165244 | user: luasha_5   | success: true  | req made in window: 15    | time before next req: 0  
08:03:53.165758 | user: luasha_2   | success: false | req made in window: 15    | time before next req: 0  
08:03:53.165821 | user: luasha_3   | success: true  | req made in window: 10    | time before next req: 0  
08:03:53.166331 | user: luasha_1   | success: true  | req made in window: 12    | time before next req: 0  
08:03:53.167400 | user: luasha_4   | success: true  | req made in window: 15    | time before next req: 0  
08:03:53.167400 | user: luasha_4   | success: false | req made in window: 15    | time before next req: 0  
08:03:53.167922 | user: luasha_2   | success: false | req made in window: 15    | time before next req: 0  
08:03:54.182820 | user: luasha_4   | success: true  | req made in window: 11    | time before next req: 0  
08:03:54.184069 | user: luasha_1   | success: true  | req made in window: 11    | time before next req: 0  
08:03:54.184069 | user: luasha_2   | success: true  | req made in window: 14    | time before next req: 0  
08:03:54.186123 | user: luasha_3   | success: true  | req made in window: 8     | time before next req: 0  
08:03:54.186123 | user: luasha_3   | success: true  | req made in window: 7     | time before next req: 0  
08:03:54.187929 | user: luasha_3   | success: true  | req made in window: 9     | time before next req: 0  
08:03:54.187929 | user: luasha_3   | success: true  | req made in window: 8     | time before next req: 0  
08:03:54.187929 | user: luasha_5   | success: true  | req made in window: 13    | time before next req: 0  
08:03:54.187929 | user: luasha_5   | success: true  | req made in window: 14    | time before next req: 0  
08:03:54.188960 | user: luasha_4   | success: true  | req made in window: 12    | time before next req: 0  
08:03:54.188960 | user: luasha_3   | success: true  | req made in window: 9     | time before next req: 0  
08:03:54.188960 | user: luasha_1   | success: true  | req made in window: 12    | time before next req: 0  
08:03:54.190127 | user: luasha_3   | success: true  | req made in window: 10    | time before next req: 0  
08:03:54.190127 | user: luasha_1   | success: true  | req made in window: 13    | time before next req: 0  
08:03:54.190127 | user: luasha_3   | success: true  | req made in window: 11    | time before next req: 0  
08:03:54.190632 | user: luasha_2   | success: true  | req made in window: 15    | time before next req: 0  
08:03:54.191172 | user: luasha_1   | success: true  | req made in window: 14    | time before next req: 0  
08:03:54.191692 | user: luasha_4   | success: true  | req made in window: 13    | time before next req: 0  
08:03:54.192242 | user: luasha_5   | success: true  | req made in window: 15    | time before next req: 0  
08:03:54.192242 | user: luasha_5   | success: true  | req made in window: 15    | time before next req: 0  
