07:33:40.136896 | user: nolua_3    | success: false | req made in window: 15    | time before next req: 7  
07:33:40.138739 | user: nolua_4    | success: true  | req made in window: 11    | time before next req: 0  
07:33:41.146412 | user: nolua_4    | success: true  | req made in window: 12    | time before next req: 0  
07:33:41.146412 | user: nolua_1    | success: false | req made in window: 15    | time before next req: 6  
07:33:41.150693 | user: nolua_5    | success: false | req made in window: 15    | time before next req: 6  
07:33:41.150693 | user: nolua_5    | success: false | req made in window: 15    | time before next req: 6  
07:33:41.150693 | user: nolua_2    | success: true  | req made in window: 10    | time before next req: 0  
07:33:41.150693 | user: nolua_4    | success: true  | req made in window: 13    | time before next req: 0  
07:33:41.150693 | user: nolua_2    | success: true  | req made in window: 10    | time before next req: 0  
07:33:41.155226 | user: nolua_3    | success: false | req made in window: 15    | time before next req: 6  
07:33:41.155666 | user: nolua_4    | success: true  | req made in window: 14    | time before next req: 0  
07:33:41.155666 | user: nolua_2    | success: true  | req made in window: 10    | time before next req: 0  
07:33:41.155666 | user: nolua_4    | success: false | req made in window: 15    | time before next req: 6  
07:33:41.155666 | user: nolua_5    | success: false | req made in window: 15    | time before next req: 6  
07:33:41.156842 | user: nolua_5    | success: false | req made in window: 15    | time before next req: 6  
07:33:41.156842 | user: nolua_4    | success: true  | req made in window: 13    | time before next req: 0  
07:33:41.157931 | user: nolua_3    | success: false | req made in window: 15    | time before next req: 6  
07:33:41.157931 | user: nolua_4    | success: false | req made in window: 15    | time before next req: 6  
07:33:41.157931 | user: nolua_4    | success: false | req made in window: 15    | time before next req: 6  
07:33:41.158204 | user: nolua_2    | success: true  | req made in window: 12    | time before next req: 0  
07:33:41.158204 | user: nolua_5    | success: false | req made in window: 15    | time before next req: 6  
07:33:41.158204 | user: nolua_2    | success: true  | req made in window: 12    | time before next req: 0  
07:33:41.159860 | user: nolua_2    | success: true  | req made in window: 13    | time before next req: 0  
07:33:41.159860 | user: nolua_3    | success: false | req made in window: 15    | time before next req: 6  
07:33:41.160368 | user: nolua_5    | success: false | req made in window: 15    | time before next req: 6  
07:33:41.160368 | user: nolua_4    | success: false | req made in window: 15    | time before next req: 6  
07:33:41.162309 | user: nolua_1    | success: false | req made in window: 15    | time before next req: 6  
07:33:41.162309 | user: nolua_1    | success: false | req made in window: 15    | time before next req: 6  
07:33:41.162835 | user: nolua_1    | success: false | req made in window: 15    | time before next req: 6  
07:33:42.171328 | user: nolua_1    | success: false | req made in window: 15    | time before next req: 5  
07:33:42.174083 | user: nolua_5    | success: false | req made in window: 15    | time before next req: 5  
07:33:42.174083 | user: nolua_2    | success: true  | req made in window: 14    | time before next req: 0  
07:33:42.180518 | user: nolua_3    | success: false | req made in window: 15    | time before next req: 5  
07:33:42.181026 | user: nolua_3    | success: false | req made in window: 15    | time before next req: 5  
07:33:42.181026 | user: nolua_1    | success: false | req made in window: 15    | time before next req: 5  
07:33:42.181026 | user: nolua_3    | success: false | req made in window: 15    | time before next req: 5  
07:33:42.184724 | user: nolua_4    | success: false | req made in window: 15    | time before next req: 5  
07:33:42.185613 | user: nolua_5    | success: false | req made in window: 15    | time before next req: 5  
07:33:42.186631 | user: nolua_3    | success: false | req made in window: 15    | time before next req: 5  
07:33:42.186631 | user: nolua_4    | success: false | req made in window: 15    | time before next req: 5  
07:33:42.186631 | user: nolua_1    | success: false | req made in window: 15    | time before next req: 5  
07:33:42.189974 | user: nolua_3    | success: false | req made in window: 15    | time before next req: 5  
07:33:42.190478 | user: nolua_1    | success: false | req made in window: 15    | time before next req: 5  
